SourceLat,SourceLon,DestLat,DestLon,SourceLatitude,SourceLongitude,DestLatitude,DestLongitude,mean_speed,std_dev_speed,upper_bound,lower_bound
41.8151,-71.40034,41.81505,-71.40024,41.8151,-71.40034,41.81505,-71.40024,2.0210694937861184,2.2727963153435327,6.290256982863975,0.0001589359244911
41.81516,-71.40036,41.58917,-71.40978,41.81516,-71.40036,41.58917,-71.40978,0.5271239642478409,1.2648069736783192,6.475892736115919,0.0001088559828227
41.81517,-71.40037,41.81503,-71.40018,41.81517,-71.40037,41.81503,-71.40018,2.449880851140878,2.18834560462398,6.81595171687604,0.0001496813908773
41.81573,-71.40059,41.81511,-71.40017,41.81573,-71.40059,41.81511,-71.40017,1.5319362725259398,2.142160151581367,6.352515884086088,0.000113443987733
45.91246,-85.96551,41.64677,-87.47528,45.91246,-85.96551,41.64677,-87.47528,,,inf,2.015363305128843e-06
46.11492,-122.9757,46.11498,-122.97568,46.11492,-122.9757,46.11498,-122.97568,0.029054484245973216,0.027648294365415698,0.3874368572225206,0.0001389976479384
46.11768,-122.97993,46.11495,-122.97575,46.11768,-122.97993,46.11495,-122.97575,0.06793081265878302,0.26434016623395806,2.7556530447514094,0.0001389119517847
46.24084,-123.72022,47.28324,-122.43594,46.24084,-123.72022,47.28324,-122.43594,,,inf,8.534067639158266e-05
46.50268,-84.35674,42.86519,-79.57353,46.50268,-84.35674,42.86519,-79.57353,2.902433972694174,2.1266447055990687,6.022762694910011,7.324419353614521e-06
46.50326,-84.37506,46.50693,-84.38637,46.50326,-84.37506,46.50693,-84.38637,1.0458286865804007,1.3638899214625009,11.01658141318122,1.3063716064958486e-05
47.26958,-122.4167,47.58971,-122.34977,47.26958,-122.4167,47.58971,-122.34977,2.396362582124026,67.59897872142815,14289.313358881289,5.735355528391865e-05
47.53809,-122.32879,47.53816,-122.3295,47.53809,-122.32879,47.53816,-122.3295,4.468389944611957,110.95966185361658,5323.695075697026,0.0001498819020113
47.53816,-122.3295,47.53819,-122.32944,47.53816,-122.3295,47.53819,-122.32944,1.4394995091244016,1.65552286009318,4.6613598783135775,0.0002929256637813
47.53819,-122.32944,47.6437,-122.82977,47.53819,-122.32944,47.6437,-122.82977,,,inf,7.125023979202757e-06
47.58971,-122.34977,47.58982,-122.34976,47.58971,-122.34977,47.58982,-122.34976,0.024132736297479078,0.022074727380835605,0.1863879036396522,0.0009996810590754
47.58979,-122.34988,48.52024,-122.61103,47.58979,-122.34988,48.52024,-122.61103,,,inf,3.107702506695679e-05
47.58982,-122.34976,47.58984,-122.34978,47.58982,-122.34976,47.58984,-122.34978,0.029405788618979866,0.028513933874460506,0.1646988444478551,0.0005640576726224
47.62628,-122.38328,47.63036,-122.38379,47.62628,-122.38328,47.63036,-122.38379,3.1911690944013333,3.087827418335803,8.096349503563328,0.0001044054582973
47.63006,-122.38101,47.63128,-122.38102,47.63006,-122.38101,47.63128,-122.38102,4.104103991772837,3.9665702122972073,88.17022712809414,4.644238316002244e-06
47.63021,-122.38383,47.63024,-122.38383,47.63021,-122.38383,47.63024,-122.38383,0.04153208824505492,0.048244212936028145,0.3660696943446986,0.0001404235839515
47.63025,-122.38364,47.63032,-122.38369,47.63025,-122.38364,47.63032,-122.38369,0.043096312426145866,0.06239590529178075,1.0668489710467963,0.0003114066459196
47.63028,-122.38369,47.63025,-122.38364,47.63028,-122.38369,47.63025,-122.38364,0.04809723232817639,0.04271249768853325,0.3434865780912435,0.0011093844691428
47.63029,-122.384,47.63039,-122.38394,47.63029,-122.384,47.63039,-122.38394,0.05195230550441177,0.11058036154085998,1.242217129814606,3.5437520199844795e-05
47.63037,-122.3837,47.63022,-122.38365,47.63037,-122.3837,47.63022,-122.38365,0.048917960515367016,0.05178870690613744,0.294981633440565,0.0005324697542616
47.63039,-122.38394,47.63028,-122.38369,47.63039,-122.38394,47.63028,-122.38369,,,inf,6.672598715031369e-06
47.63122,-122.38092,47.63123,-122.38093,47.63122,-122.38092,47.63123,-122.38093,0.0004175937454360902,0.0006348547182625504,0.002149472300718,2.444017965437857e-07
47.63122,-122.3809,47.63124,-122.38092,47.63122,-122.3809,47.63124,-122.38092,0.0010048121460728145,0.0017921664853297323,0.0053968744444244,6.20499205865109e-06
47.63128,-122.38102,47.63123,-122.38092,47.63128,-122.38102,47.63123,-122.38092,6.949029606264323,265.38230435716775,35487.33595353727,4.31947149036888e-06
48.10009,-122.54835,49.29814,-123.0401,48.10009,-122.54835,49.29814,-123.0401,,,inf,1.7231959532685575e-05
48.52028,-122.61113,48.52031,-122.61097,48.52028,-122.61113,48.52031,-122.61097,0.036416291981488255,0.030465622632715475,0.1554239344957963,0.0006736255581643
48.52031,-122.61114,48.52036,-122.61109,48.52031,-122.61114,48.52036,-122.61109,0.04072218620275595,0.03135527432988669,0.1450024470734589,0.0003226582598164
48.52031,-122.61097,47.2547,-122.43273,48.52031,-122.61097,47.2547,-122.43273,2.5602938203342283,27.364981907735768,2288.205226561645,0.0001554547204915
48.52035,-122.61117,48.52035,-122.61106,48.52035,-122.61117,48.52035,-122.61106,0.024175385516859504,0.02510048577529654,0.1169497715450785,0.0001271197189216
48.52035,-122.61106,48.52031,-122.61114,48.52035,-122.61106,48.52031,-122.61114,0.039901849577331706,0.03279529588495548,0.1699461590593731,0.0001722292462659
48.52036,-122.61109,48.52036,-122.61105,48.52036,-122.61109,48.52036,-122.61105,0.03536296303940406,0.029555793561673073,0.1590244281232048,0.0007567443900631
48.52036,-122.61105,48.52028,-122.61113,48.52036,-122.61105,48.52028,-122.61113,0.024073002901726172,0.031003634958185398,0.191463512111215,1.465885223966483e-05
48.52225,-122.61212,47.28288,-122.40773,48.52225,-122.61212,47.28288,-122.40773,,,inf,2.6064121692090707e-06
48.81976,-123.28714,48.76973,-123.45144,48.81976,-123.28714,48.76973,-123.45144,,,inf,2.4683719819803363e-06
